# datapoints = 205
1.336090e+04, 5.450000e+14, 4.659019e-01, 8.503667e-03
1.396570e+04, 5.450000e+14, 4.368119e-01, 4.004715e-03
3.522010e+04, 5.450000e+14, 1.924396e-01, 1.034610e-02
3.591130e+04, 5.450000e+14, 1.820935e-01, 1.293476e-02
3.660250e+04, 5.450000e+14, 1.691587e-01, 7.613398e-03
5.284570e+04, 5.450000e+14, 1.343676e-01, 4.860206e-03
5.561050e+04, 5.450000e+14, 1.159563e-01, 5.218894e-03
9.855130e+04, 5.450000e+14, 5.974402e-02, 4.752662e-03
9.889690e+04, 5.450000e+14, 6.550802e-02, 4.653271e-03
9.924250e+04, 5.450000e+14, 6.255967e-02, 3.906100e-03
1.536745e+05, 5.450000e+14, 2.912691e-02, 1.818626e-03
1.727689e+05, 5.450000e+14, 2.149287e-02, 2.600154e-03
1.266970e+04, 4.550000e+14, 4.762631e-01, 8.692781e-03
1.336090e+04, 4.550000e+14, 4.465262e-01, 8.150022e-03
1.396570e+04, 4.550000e+14, 4.506579e-01, 8.225433e-03
3.522010e+04, 4.550000e+14, 1.913581e-01, 1.194802e-02
3.591130e+04, 4.550000e+14, 1.777653e-01, 1.109931e-02
3.660250e+04, 4.550000e+14, 1.878655e-01, 6.795277e-03
5.396890e+04, 4.550000e+14, 1.360965e-01, 4.922743e-03
6.079450e+04, 4.550000e+14, 1.163716e-01, 4.209274e-03
6.278170e+04, 4.550000e+14, 1.032397e-01, 3.734283e-03
7.142170e+04, 4.550000e+14, 9.950547e-02, 3.599210e-03
7.885210e+04, 4.550000e+14, 8.991806e-02, 4.046979e-03
8.343130e+04, 4.550000e+14, 8.587108e-02, 4.616673e-03
9.855130e+04, 4.550000e+14, 6.696486e-02, 4.181151e-03
9.889690e+04, 4.550000e+14, 6.454267e-02, 3.469997e-03
9.924250e+04, 4.550000e+14, 6.163777e-02, 4.903311e-03
1.529833e+05, 4.550000e+14, 3.146639e-02, 2.235171e-03
1.568713e+05, 4.550000e+14, 2.869769e-02, 2.282914e-03
1.611913e+05, 4.550000e+14, 3.205140e-02, 3.353705e-03
2.253001e+05, 4.550000e+14, 1.896038e-02, 2.293779e-03
